Date,Price,MarketCap,TotalVolume,Stablecoin
2023-08-04,0.9986798538079775,83841060938.9211,17894208326.919086,tether
2023-08-05,0.9989124954709581,83719693334.73195,11293689345.822758,tether
2023-08-06,0.9989869260138814,83816979241.18967,8632620439.423523,tether
2023-08-07,0.9983198416783463,83751692193.03862,11345706293.528992,tether
2023-08-08,0.9988731533009275,83464564710.04935,22713171469.689056,tether
2023-08-09,0.9999454982095487,83534670798.40623,25194087093.52214,tether
2023-08-10,0.9997120082401099,83496944483.02469,18767301829.031578,tether
2023-08-11,0.9988989814309317,83445632345.53148,10890096033.917694,tether
2023-08-12,0.9989379212012733,83313809612.89717,8184751224.058282,tether
2023-08-13,0.9993771983831886,83355420569.70955,9189020281.947243,tether
2023-08-14,0.9993836393270443,83303287526.81169,9254138040.705431,tether
2023-08-15,0.998712649259746,83323482665.83325,12792365654.7868,tether
2023-08-16,0.9988934302939576,83089141821.30199,18746693270.259033,tether
2023-08-17,0.9997501195088656,83061154615.96309,23160234770.298016,tether
2023-08-17,1.0020931594578688,83191014027.09805,41091502697.38168,tether
2023-08-04,0.9996285234799422,26094832146.331715,21863112794.23339,usd-coin
2023-08-05,1.0004248543891299,26032430433.790546,3411266718.4144464,usd-coin
2023-08-06,0.9998442769888788,26040360466.607174,1675708346.1786625,usd-coin
2023-08-07,0.9998135184731947,26043142435.79638,1874548744.2774842,usd-coin
2023-08-08,1.0000726716840154,26135117669.341965,3622888390.5140834,usd-coin
2023-08-09,1.000084807207946,26308031420.31453,3754964287.019226,usd-coin
2023-08-10,1.0000019535862,26284261152.72976,3016939902.7773566,usd-coin
2023-08-11,0.9998613919156136,26152601233.99182,2203564212.0221443,usd-coin
2023-08-12,1.0002693796319049,26116498500.47991,1575234195.3411024,usd-coin
2023-08-13,0.9998800709724546,26161944529.388718,1242418455.6936498,usd-coin
2023-08-14,0.9999806676218262,26180583371.681644,1681826723.9697866,usd-coin
2023-08-15,0.9996884425110618,26004359971.61167,2461885539.9956408,usd-coin
2023-08-16,0.9999747938591852,26032843936.259975,3215612150.837099,usd-coin
2023-08-17,1.0009391718165703,26085565901.880783,3877504000.1972904,usd-coin
2023-08-17,1.005114350370824,26347092945.13147,8765862282.59643,usd-coin
2023-08-04,1.0001191246675198,4053357489.7926426,131679594.10309935,dai
2023-08-05,1.0005402594185786,4029077670.379351,209794476.48606485,dai
2023-08-06,1.0003301032660623,4034875321.7894125,132508117.68685412,dai
2023-08-07,0.9998699958918646,4036014525.9306407,150551791.46733713,dai
2023-08-08,0.9996348022886811,4030372874.1291633,133325065.66211098,dai
2023-08-09,1.0000691356155786,4043202455.8500404,197100141.99408382,dai
2023-08-10,1.0001285970884923,4049241793.823921,136657145.0765099,dai
2023-08-11,0.9997384303386553,4005538989.834342,92653749.31928197,dai
2023-08-12,0.9997245039253415,3966647805.424773,74527928.70457636,dai
2023-08-13,0.9997296780812843,4007856491.408019,68155296.48389661,dai
